blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
0274 035,1928 Ramsay St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2832882021,-76.6478659711
7245A034,3745 Saint Margaret St,Baltimore,MD,Brooklyn,10,Southern,39.2321757855,-76.5956164801
1625 081,725 N Rose St,Baltimore,MD,Milton - Montford,13,Eastern,39.299606564,-76.5814473472
0272 016,2131 Mchenry St,Baltimore,MD,Carrollton Ridge,9,Southwestern,39.2839101169,-76.6506140837
0082 071,802 N Brice St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2978780723,-76.6501173524
3818 025,2222 N Calvert St,Baltimore,MD,Barclay,12,Northern,39.3149458078,-76.6142879379
1448 070,1817 N Wolfe St,Baltimore,MD,Broadway East,12,Eastern,39.31143817,-76.59143056
3342 028,2514 Keyworth Ave,Baltimore,MD,Greenspring,6,Northern,39.334556897,-76.6600270309
1543 070,1228 N Ellwood Ave,Baltimore,MD,Berea,13,Eastern,39.3057697847,-76.5744650254
0192 066,21 N Payson St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2890318706,-76.6484771797
2314 019A,1608 Thomas Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3065345934,-76.6582753447
1677 050,453 N Curley St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2968867682,-76.5756059409
4543 014,5233 Reisterstown Road,Baltimore,MD,Woodmere,5,Northwestern,39.3439599623,-76.6844936963
1484 075,1501 N Bradford St,Baltimore,MD,Broadway East,13,Eastern,39.3081923528,-76.5848545436
8265 023,3907 N Rogers Ave,Baltimore,MD,Howard Park,5,Northwestern,39.3374688823,-76.7003232053
0014 045,1633 Mckean Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3073608519,-76.6469306405
1536 073,1209 N Patterson Park Ave,Baltimore,MD,Broadway East,13,Eastern,39.304921517,-76.5852421462
0280 048,337 S Stricker St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.283707051,-76.6402903076
1447 077,1808 E Lafayette Ave,Baltimore,MD,Broadway East,12,Eastern,39.31092947,-76.5926369549
4010N013,924 Bonaparte Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3164875284,-76.6014307764
1227 053,819 N Caroline St,Baltimore,MD,Gay Street,12,Eastern,39.2999162463,-76.5974314422
0328 040,537 Robert St,Baltimore,MD,Druid Heights,11,Central,39.3058972043,-76.6351463395
0021 040,1547 N Fulton Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3062215441,-76.6458998288
1713 059,106 N Curley St,Baltimore,MD,Patterson Park Neighborhood,1,Southeastern,39.2935666376,-76.5757538244
1453 016,1831 N Gay St,Baltimore,MD,Broadway East,13,Eastern,39.3118444079,-76.5847142813
1158 019,1011 E Preston St,Baltimore,MD,Oliver,12,Eastern,39.3048327649,-76.6032235088
0850 031,1236 W Cross St,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2825017096,-76.6317925626
0452 076,812 Edmondson Ave,Baltimore,MD,Upton,11,Central,39.2963443373,-76.6314693334
0393 039,1337 Myrtle Ave,Baltimore,MD,Upton,11,Central,39.2996716831,-76.6330908937
0077 022,919 N Calhoun St,Baltimore,MD,Sandtown - Winchester,9,Western,39.2996832152,-76.6398868512
0013A008,1602 Mckean Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3070150577,-76.6474216924
4624 040,3325 Virginia Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3426000685,-76.6718106384
1466 074,1708 E Federal St,Baltimore,MD,Broadway East,12,Eastern,39.3087554615,-76.5940949357
6431 039,3216 Foster Ave,Baltimore,MD,Canton,1,Southeastern,39.2846320809,-76.570843362
3238 008,3500 Woodbrook Ave,Baltimore,MD,Parkview / Woodbrook,7,Western,39.3180658621,-76.6510488048
3652 093,2803 Miles Ave,Baltimore,MD,Remington,12,Northern,39.3205299732,-76.6232983497
0649 005,105 E Baltimore St,Baltimore,MD,Downtown,11,Central,39.2894102537,-76.6134022347
1568 082,1028 N Castle St,Baltimore,MD,Middle East,13,Eastern,39.3028929274,-76.5892167508
0014 056,1655 Mckean Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3077854344,-76.6469550481
3935 095,2726 Tivoly Ave,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3224046974,-76.5910611603
3210 064,2012 N Monroe St,Baltimore,MD,Mondawmin,7,Western,39.3114932798,-76.6485086458
1455 014,1621 N Milton Ave,Baltimore,MD,Berea,13,Eastern,39.3095070402,-76.5826091335
4070A011,2617 Greenmount Ave,Baltimore,MD,Better Waverly,14,Northern,39.3201244277,-76.6091956667
0275 005,308 S Fulton Ave,Baltimore,MD,Carrollton Ridge,9,Southern,39.2840440368,-76.6451711887
1668 037,404 N Chester St,Baltimore,MD,Care,13,Eastern,39.2958191613,-76.5879004218
0010 016,1732 N Calhoun St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3084677621,-76.6444361972
1549 031,1115 Rutland Ave,Baltimore,MD,Middle East,12,Eastern,39.3039581791,-76.5922843699
0089 026,1341 W Lafayette Ave,Baltimore,MD,Harlem Park,9,Western,39.2988178106,-76.6399705928
6265 058,21 N Clinton St,Baltimore,MD,Patterson Park Neighborhood,1,Southeastern,39.2932566517,-76.5707065839
1657 055,500 N Glover St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2971231403,-76.5802445629
7441A010,2249 Sidney Ave,Baltimore,MD,Westport,10,Southern,39.2630091102,-76.6327007351
0431 067,1121 Myrtle Ave,Baltimore,MD,Upton,11,Central,39.2977180937,-76.6306671518
0084 070,809 Mckean Ave,Baltimore,MD,Harlem Park,9,Western,39.298103825,-76.6465107029
1182 029,711 E Chase St,Baltimore,MD,Johnston Square,12,Eastern,39.3025293742,-76.6069598343
3207 026,1901 N Payson St,Baltimore,MD,Mondawmin,7,Western,39.3101195355,-76.6496824775
3410 036,2605 Francis St,Baltimore,MD,Penn North,7,Western,39.3141851804,-76.6433886186
2388A030,1226 Oakhurst Pl,Baltimore,MD,Winchester,9,Southwestern,39.3023024283,-76.6647577121
1627 032,744 N Kenwood Ave,Baltimore,MD,Madison - Eastend,13,Eastern,39.2999461511,-76.5783673292
2285 001,3501 W Franklin St,Baltimore,MD,Allendale,8,Southwestern,39.2925216403,-76.6759182299
0767 080,1304 Sargeant St,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2808375932,-76.6363383466
4607 026,3510 Woodland Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3421529698,-76.6737292459
2377C027,605 N Dukeland St,Baltimore,MD,Mosher,9,Western,39.2949811773,-76.6627691731
1608 055,2426 E Madison St,Baltimore,MD,Milton - Montford,13,Eastern,39.3000780168,-76.5826212807
0055B007,1112 N Carey St,Baltimore,MD,Sandtown - Winchester,9,Western,39.3015046529,-76.6391067442
3004 008,2918 W North Ave,Baltimore,MD,Walbrook,7,Southwestern,39.3093793258,-76.6663896667
1513 042,1746 E Preston St,Baltimore,MD,Broadway East,12,Eastern,39.3056095612,-76.5929770569
3402 013,2724 Pennsylvania Ave,Baltimore,MD,Penn North,7,Western,39.3127623825,-76.6460390732
3639 075,323 W Lorraine Ave,Baltimore,MD,Remington,12,Northern,39.3194262107,-76.6209047166
7116 008,815 E Jeffrey St,Baltimore,MD,Brooklyn,10,Southern,39.232121306,-76.6003834693
2386 022,2849 Prospect St,Baltimore,MD,Mosher,9,Western,39.2984905481,-76.6642501353
1555 052,2410 E Chase St,Baltimore,MD,Biddle Street,13,Eastern,39.3038429119,-76.5836367555
2244A016,3610 Frederick Ave,Baltimore,MD,Irvington,8,Southwestern,39.2819114327,-76.6766607606
0276 021,321 S Fulton Ave,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2838666499,-76.6447193693
4587 027,3069 Spaulding Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3487781142,-76.6735906758
0164 082,227 N Bruce St,Baltimore,MD,Franklin Square,9,Western,39.2913934903,-76.644528996
4587 025,5021 Palmer Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3488138251,-76.6730146525
0696 027,2216 Wilkens Ave,Baltimore,MD,Carrollton Ridge,9,Southwestern,39.2808088009,-76.6511575741
0094 048,2007 Rayner Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.2967197697,-76.6497235496
0263 056,214 S Stricker St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2850658304,-76.6410636562
3210 053,1917 Ridgehill Ave,Baltimore,MD,Mondawmin,7,Western,39.3112555106,-76.648850546
