blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
0009 063,1707 N Bruce St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3083961068,-76.6454493364
7202 014,4621 Pennington Ave,Baltimore,MD,Curtis Bay,10,Southern,39.2240093058,-76.5880821155
4131 036,1531 Carswell St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3227638645,-76.5960785962
0699 058,1913 Ramsay St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2829149592,-76.6473446959
0242 047,1935 W Lombard St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2859189973,-76.6480339685
5695F081P,5845 Benton Heights Ave,Baltimore,MD,Glenham - Belhar,2,Northeastern,39.3458678829,-76.5434566155
0085 023,1719 W Lafayette Ave,Baltimore,MD,Harlem Park,9,Western,39.298597963,-76.6450452817
1533 021,2040 E Biddle St,Baltimore,MD,Broadway East,12,Eastern,39.304711847,-76.588749231
0189 023,2247 W Fayette St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2890901549,-76.6527843602
1604 032,2019 Ashland Ave,Baltimore,MD,Middle East,13,Eastern,39.3005272326,-76.5885986624
6152 004,3207 E Monument St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2990581683,-76.5719641118
0128 005,1009 Edmondson Ave,Baltimore,MD,Harlem Park,9,Western,39.2953588004,-76.6345496818
0107 002,602 N Monroe St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2955495759,-76.6476034159
0082 052,806 N Payson St,Baltimore,MD,Midtown - Edmondson,9,Western,39.2979250205,-76.6494642859
2170A013,2524 W Fairmount Ave,Baltimore,MD,Shipley Hill,9,Southwestern,39.2884972984,-76.657250133
7133 006,4036 1/2 6th St,Baltimore,MD,Brooklyn,10,Southern,39.2309063705,-76.603358437
2481 038D,713 N Longwood St,Baltimore,MD,Franklintown Road,9,Southwestern,39.2958114878,-76.6664870381
2484 025,608 Denison St,Baltimore,MD,Edgewood,8,Southwestern,39.2947084243,-76.6744975721
0060 049,1021 N Fulton Ave,Baltimore,MD,Sandtown - Winchester,9,Western,39.300394862,-76.6455448073
0106 040,2043 Harlem Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.2960867305,-76.6503132325
5918 018,3402 Ramona Ave,Baltimore,MD,Belair - Edison,13,Northeastern,39.3231597071,-76.5632353193
1447 066,1830 E Lafayette Ave,Baltimore,MD,Broadway East,12,Eastern,39.310963323,-76.592000277
3453 028,2302 Mount Royal Terr,Baltimore,MD,Reservoir Hill,7,Central,39.3155383657,-76.6293644035
1191 007,1017 N Caroline St,Baltimore,MD,Gay Street,12,Eastern,39.3022158256,-76.5975620321
7139 023,3721 Saint Victor St,Baltimore,MD,Brooklyn,10,Southern,39.2330828921,-76.5970668872
0174 037,2240 W Fayette St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2894748475,-76.6526625254
1587 054,956 N Chester St,Baltimore,MD,Middle East,13,Eastern,39.3017774402,-76.588308923
3342 022,2526 Keyworth Ave,Baltimore,MD,Greenspring,6,Northern,39.334329997,-76.6604398475
0411 046,752 Dolphin St,Baltimore,MD,Upton,11,Central,39.2974562965,-76.6328267687
0274 059,1929 Mchenry St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2840028501,-76.6478242338
5173 074,519 Chateau Ave,Baltimore,MD,Winston - Govans,4,Northern,39.3505961177,-76.6086017194
5158A022,702 Glenwood Ave,Baltimore,MD,Woodbourne - Mccabe,4,Northern,39.3537506494,-76.6062243412
4511D040,4030 Hayward Ave,Baltimore,MD,Woodmere,5,Northwestern,39.3457949262,-76.6856743177
2491B021,624 Wicklow Road,Baltimore,MD,Rognel Heights,8,Southwestern,39.2947807774,-76.6864981967
7445 031,2815 Maisel St,Baltimore,MD,Westport,10,Southern,39.2614760413,-76.6337180878
4000 014,526 E North Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3117475684,-76.6086614938
4605A027,4908 Denmore Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3449277454,-76.6730343637
0239 049,2223 W Pratt St,Baltimore,MD,Carrollton Ridge,9,Southwestern,39.2847269295,-76.6521555424
0376 014,1430 Druid Hill Ave,Baltimore,MD,Upton,11,Central,39.3033118267,-76.6305808304
3823 036,2328 Barclay St,Baltimore,MD,Barclay,12,Eastern,39.3159506576,-76.6115080057
1485 049,2400 E Oliver St,Baltimore,MD,Broadway East,13,Eastern,39.3080813639,-76.5841393747
3003 085,3002 Herbert St,Baltimore,MD,Walbrook,7,Southwestern,39.3097038422,-76.6681623796
3952 028,1806 E 28th St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3240830749,-76.5904002605
2131B017,2913 Frederick Ave,Baltimore,MD,Gwynns Falls,10,Southwestern,39.2793780293,-76.6646359182
2176 077,2516 W Pratt St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2849273754,-76.6565381486
0244 025,125 S Fulton Ave,Baltimore,MD,Union Square,9,Southern,39.2854106749,-76.6448085217
4589 008,5115 Chalgrove Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3507564462,-76.6711632282
3085 102,2212 Braddish Ave,Baltimore,MD,Panway / Braddish Avenue,7,Western,39.3129016109,-76.6616748609
0758 129,1307 Glyndon Ave,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2815011999,-76.6368986599
1458 058,1910 E Lanvale St,Baltimore,MD,Broadway East,12,Eastern,39.3099189967,-76.5911959635
0026 008,1414 N Fulton Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3045545591,-76.6464026581
1622 081,700 N Madeira St,Baltimore,MD,Middle East,13,Eastern,39.2990465539,-76.5861195243
7492C110,2533 Marbourne Ave,Baltimore,MD,Lakeland,10,Southern,39.2539977747,-76.6489506847
0190 076,2123 W Fairmount Ave,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2885064988,-76.6508722582
1148 012,1323 N Central Ave,Baltimore,MD,Oliver,12,Eastern,39.3057848366,-76.6002708974
2244A033,3509 Old Frederick Road,Baltimore,MD,Irvington,8,Southwestern,39.2824647737,-76.6754134043
3443 010,720 Lennox St,Baltimore,MD,Reservoir Hill,7,Central,39.3120516572,-76.6289034314
1513 045,1752 E Preston St,Baltimore,MD,Broadway East,12,Eastern,39.3056157315,-76.5928307173
0298 073,522 Sanford Pl,Baltimore,MD,Druid Heights,7,Central,39.3091228782,-76.6408574629
0393 011,1320 Argyle Ave,Baltimore,MD,Upton,11,Central,39.2998233492,-76.6321987515
1448 069,1819 N Wolfe St,Baltimore,MD,Broadway East,12,Eastern,39.3114754628,-76.5914330549
4163 010,2147 Harford Road,Baltimore,MD,Darley Park,14,Eastern,39.3149551652,-76.5968619421
1529 056,1705 E Preston St,Baltimore,MD,Broadway East,12,Eastern,39.3052193006,-76.5942778693
0377 032,1411 Druid Hill Ave,Baltimore,MD,Upton,11,Central,39.3032095174,-76.6296552545
1513 076,1739 Ellsworth St,Baltimore,MD,Broadway East,12,Eastern,39.3058102392,-76.5933106039
2475H027,1002 N Franklintown Road,Baltimore,MD,Franklintown Road,9,Southwestern,39.298809936,-76.6682135435
2197 034,3157 Leeds St,Baltimore,MD,Carroll - South Hilton,9,Southwestern,39.2823827874,-76.6697635631
2256 005,3708 Old Frederick Road,Baltimore,MD,Saint Josephs,8,Southwestern,39.2837664098,-76.6777229564
0699 053,1923 Ramsay St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2828750647,-76.6475230169
2170A014,2526 W Fairmount Ave,Baltimore,MD,Shipley Hill,9,Southwestern,39.2884943183,-76.6573293538
1671 009,419 N Patterson Park Ave,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2960611415,-76.584701593
0107 075,1900 Edmondson Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.295366344,-76.6474776836
0063 023,1013 N Stricker St,Baltimore,MD,Sandtown - Winchester,9,Western,39.3004216205,-76.6413393849
4609 032,4803 Reisterstown Road,Baltimore,MD,Central Park Heights,6,Northwestern,39.3418099991,-76.6757418877
1419 093,227 S Bethel St,Baltimore,MD,Fells Point,12,Southeastern,39.2883747945,-76.5945205348
0094 013,2004 Harlem Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.2965019397,-76.6493638936
3205 068,2133 Herbert St,Baltimore,MD,Mondawmin,7,Western,39.3100957184,-76.6524577334
1529 073,1225 N Broadway,Baltimore,MD,Broadway East,12,Eastern,39.3045802831,-76.5942846808
0394 051,1309 Argyle Ave,Baltimore,MD,Upton,11,Central,39.2999111952,-76.6315911441
0299 020,1339 W North Ave,Baltimore,MD,Druid Heights,7,Central,39.3100216955,-76.6394033522
4527 040,5301 Denmore Ave,Baltimore,MD,Arlington,5,Northwestern,39.3495476608,-76.6802539739
0306 004,1510 N Fremont Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3057819551,-76.6383826772
3413 026,2450 Druid Hill Ave,Baltimore,MD,Penn North,7,Western,39.3122809133,-76.6405022268
0801 057,1139 Nanticoke St,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2803681041,-76.6309787389
2315 033,1604 N Warwick Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3064586063,-76.6573043463
4003 018,1904 Cecil Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.312161134,-76.6054769132
2140 027,403 East Lynne Ave,Baltimore,MD,Millhill,9,Southwestern,39.2806585204,-76.6589814912
1504 040,2408 E Hoffman St,Baltimore,MD,Broadway East,13,Eastern,39.3070289978,-76.5838848172
0087 012,1522 W Lanvale St,Baltimore,MD,Harlem Park,9,Western,39.2979511322,-76.6423065271
1477 046,1518 Rutland Ave,Baltimore,MD,Broadway East,12,Eastern,39.3082626273,-76.5930480169
1660 063,504 N Curley St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2971421995,-76.575995674
7202 007,1608 Cypress St,Baltimore,MD,Curtis Bay,10,Southern,39.2240053953,-76.5876421457
2145B043,2500 Ashton St,Baltimore,MD,Millhill,9,Southwestern,39.2807416828,-76.6555181785
0612 008,203 Davis St,Baltimore,MD,Downtown,11,Central,39.2915284607,-76.6118218815
0855 032,1124 W Cross St,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2818234138,-76.6307569718
1099B055,1321 E North Ave,Baltimore,MD,Oliver,12,Eastern,39.3116416989,-76.6000697221
0110 045,1622 Edmondson Ave,Baltimore,MD,Harlem Park,9,Western,39.2954770086,-76.6439007505
1645 070,606 N Curley St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2984105582,-76.5761044956
4028 012,2040 Harford Road,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3141930975,-76.5986857283
1513 077,1741 Ellsworth St,Baltimore,MD,Broadway East,12,Eastern,39.3058119684,-76.5932689126
1215 020,942 N Broadway,Baltimore,MD,Gay Street,12,Eastern,39.30164904,-76.5948152645
0065 003,1204 Mosher St,Baltimore,MD,Sandtown - Winchester,9,Western,39.300341244,-76.6378311442
0013A015,1616 Mckean Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3072708268,-76.647436979
4123 024,1761 Gorsuch Ave,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3198975856,-76.5929583009
1661 016,3031 Mcelderry St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2978712999,-76.5740506007
1591 092,917 N Port St,Baltimore,MD,Milton - Montford,13,Eastern,39.3015319219,-76.5829885584
0119 059,1912 Lauretta Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.2946301831,-76.6479938404
2170B009,2562 W Baltimore St,Baltimore,MD,Shipley Hill,9,Southwestern,39.287820087,-76.6583131205
1710 017,135 N Luzerne Ave,Baltimore,MD,Patterson Park Neighborhood,1,Southeastern,39.2939179408,-76.5803083935
0164 022,1738 W Lexington St,Baltimore,MD,Franklin Square,9,Western,39.2908800821,-76.645141229
7482 008,2322 Atlantic Ave,Baltimore,MD,Mount Winans,10,Southern,39.2605824009,-76.6477199078
5683 002,3304 White Ave,Baltimore,MD,Glenham - Belhar,3,Northeastern,39.3519281283,-76.5532476108
4583 004H,5021 Denmore Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3474031527,-76.6752668704
1604 068,811 N Castle St,Baltimore,MD,Middle East,13,Eastern,39.2999704619,-76.5885947191
4041 035,621 Bartlett Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3166230714,-76.607389409
3936 095,2742 Fenwick Ave,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3231476795,-76.5906943079
2217 014,518 N Franklintown Road,Baltimore,MD,Penrose / Fayette Street Outreach,9,Southwestern,39.2935952714,-76.6630063825
1516 030,1318 N Washington St,Baltimore,MD,Broadway East,13,Eastern,39.3059433639,-76.5902873295
0145 010,318 N Pulaski St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2923212971,-76.6505449618
0856A040,606 Wyeth St,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2818884312,-76.6296872404
1517 028,1302 N Chester St,Baltimore,MD,Broadway East,13,Eastern,39.3057465812,-76.5885329621
1647 002,3101 E Monument St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2990000722,-76.5736631708
0258 068,213 Harmison St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2844881659,-76.6489836239
0162 024,1946 W Lexington St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2907317386,-76.648679636
0708 074,422 S Parrish St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2826562388,-76.6415075049
7437A003,2227 Annapolis Road,Baltimore,MD,Westport,10,Southern,39.2635276329,-76.6333317212
0273 063,2019 Mchenry St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2839628145,-76.649251085
1573 017,1049 N Milton Ave,Baltimore,MD,Biddle Street,13,Eastern,39.3034814778,-76.5823414326
1158 042,1218 Aisquith St,Baltimore,MD,Oliver,12,Eastern,39.3045333341,-76.6024614837
1459 026,1732 N Chester St,Baltimore,MD,Broadway East,12,Eastern,39.3103682771,-76.5888168349
1138 116,1428 N Bethel St,Baltimore,MD,Oliver,12,Eastern,39.3070051203,-76.5962007709
4021C042,729 Bartlett Ave,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3156407116,-76.6059401209
3342A086,2470 Keyworth Ave,Baltimore,MD,Greenspring,6,Northern,39.3350412053,-76.6593138523
1164A075,1218 N Broadway,Baltimore,MD,Oliver,12,Eastern,39.3044347813,-76.5950273405
0192 099,1917 W Fairmount Ave,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2886986368,-76.6478528884
1101 066,1504 E Lafayette Ave,Baltimore,MD,Oliver,12,Eastern,39.310737602,-76.5977809934
3242 008,2200 Whittier Ave,Baltimore,MD,Parkview / Woodbrook,7,Western,39.3159842127,-76.6488603554
2734 001,3900 Maine Ave,Baltimore,MD,Central Forest Park,6,Northwestern,39.3264805237,-76.6832047638
0308 053,2106 Druid Hill Ave,Baltimore,MD,Druid Heights,7,Central,39.3083121599,-76.6367457764
3941B034,3128 Harford Road,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3267983935,-76.5852473026
3321 018,3934 Park Heights Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3339948483,-76.6627631176
4511 009,5330 Beaufort Ave,Baltimore,MD,Arlington,5,Northwestern,39.3489923701,-76.6827935842
0087 013,1524 W Lanvale St,Baltimore,MD,Harlem Park,9,Western,39.29794927,-76.6423617653
4063 043,515 E 25th St,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3179966432,-76.6086750295
0062 001,1000 N Stricker St,Baltimore,MD,Sandtown - Winchester,9,Western,39.3001316089,-76.6418760475
4616 098M,4830 Pimlico Road,Baltimore,MD,Central Park Heights,6,Northwestern,39.3476460034,-76.6691863743
3400 042,1905 N Fulton Ave,Baltimore,MD,Penn North,7,Western,39.3103923506,-76.6460715068
7470R029,2735 Wegworth Lane,Baltimore,MD,Lakeland,10,Southern,39.254190317,-76.6424822496
0360 028,603 Pitcher St,Baltimore,MD,Upton,11,Central,39.3026534805,-76.6343717157
5934A057,4417 Asbury Ave,Baltimore,MD,Belair - Edison,2,Northeastern,39.3288309306,-76.5623130463
1645 069,604 N Curley St,Baltimore,MD,Ellwood Park / Monument,13,Southeastern,39.2983759454,-76.5761021995
1184 066,1017 Valley St,Baltimore,MD,Johnston Square,12,Eastern,39.3021422827,-76.6046786461
1754 085,202 S Durham St,Baltimore,MD,Upper Fells Point,1,Southeastern,39.2890789745,-76.5910496431
0321 100,1905 Etting St,Baltimore,MD,Druid Heights,11,Central,39.3066587299,-76.6351224134
2307A007,2413 W North Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3092118867,-76.6563834188
0291 044,1850 Wilkens Ave,Baltimore,MD,Carrollton Ridge,9,Southern,39.2824253514,-76.6462960769
4164B046,1713 Cliftview Ave,Baltimore,MD,Darley Park,12,Eastern,39.3151108,-76.5935181646
0280 083,309 S Norris St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2840158434,-76.6398325999
1608 061,2414 E Madison St,Baltimore,MD,Milton - Montford,13,Eastern,39.3000667046,-76.5828968664
0149 034,309 N Bruce St,Baltimore,MD,Franklin Square,9,Western,39.2923283356,-76.6445160404
1642 050,2615 E Monument St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.2987299024,-76.5804014513
0329 024,425 Robert St,Baltimore,MD,Druid Heights,11,Central,39.3068870832,-76.6337992425
0096 009,716 N Fulton Ave,Baltimore,MD,Harlem Park,9,Western,39.2968784397,-76.6459987376
1529 018,1234 N Gay St,Baltimore,MD,Broadway East,12,Eastern,39.3048471178,-76.5935158109
0026 099,1803 Presstman St,Baltimore,MD,Sandtown - Winchester,7,Western,39.305084564,-76.6467125851
0698 007,412 S Payson St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2824474345,-76.6484847959
2419 038,1605 N Longwood St,Baltimore,MD,Northwest Community Action,7,Southwestern,39.3064283479,-76.6671250192
2377C026,603 N Dukeland St,Baltimore,MD,Mosher,9,Western,39.2949435436,-76.6627672515
2386 020,2853 Prospect St,Baltimore,MD,Mosher,9,Western,39.2984875316,-76.664336869
3417 084,2487 Druid Hill Ave,Baltimore,MD,Penn North,7,Western,39.312989747,-76.6405139149
7056 004A,516 Maude Ave,Baltimore,MD,Brooklyn,10,Southern,39.2389735039,-76.6021650379
0027 017,1432 N Mount St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3049479619,-76.6449777576
0049 040,1110 Appleton St,Baltimore,MD,Bridgeview / Greenlawn,9,Western,39.301403732,-76.648785836
1143 024,816 E Preston St,Baltimore,MD,Johnston Square,12,Eastern,39.3051243434,-76.6060045442
0307 003,2104 Division St,Baltimore,MD,Druid Heights,7,Central,39.3074263144,-76.6378343678
1557 058,2625 E Biddle St,Baltimore,MD,Biddle Street,13,Eastern,39.3046531718,-76.5803788399
1109 026,1606 E Lanvale St,Baltimore,MD,Oliver,12,Eastern,39.309718471,-76.5963004947
0086 013,1614 W Lanvale St,Baltimore,MD,Harlem Park,9,Western,39.2979134298,-76.6434247912
2377B014,615 N Franklintown Road,Baltimore,MD,Mosher,9,Western,39.2949941788,-76.6635781911
1669 015,2103 Jefferson St,Baltimore,MD,Care,13,Eastern,39.2963325733,-76.5875060826
7481C018,2421 Arbuton Ave,Baltimore,MD,Lakeland,10,Southern,39.2577975795,-76.6472785942
0242 082,1907 Lemmon St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2855308428,-76.6472619311
4607 055,3517 Lucille Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.342850604,-76.6739017907
2725 001,4101 Dorchester Road,Baltimore,MD,Dorchester,6,Northwestern,39.3293346553,-76.6874537708
1841 043,606 S Kenwood Ave,Baltimore,MD,Canton,1,Southeastern,39.2849771537,-76.5773875813
3206 047,1930 N Payson St,Baltimore,MD,Mondawmin,7,Western,39.3106938347,-76.6502052111
4071 040,534 E 27th St,Baltimore,MD,Better Waverly,14,Northern,39.3210608601,-76.6080184854
0719A067,2021 Eagle St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2806113037,-76.6478512128
1484 072,1516 N Bradford St,Baltimore,MD,Broadway East,13,Eastern,39.3084266811,-76.5852167817
1636 005,609 N Castle St,Baltimore,MD,Care,13,Eastern,39.2977316373,-76.5884073739
0321 095,1915 Etting St,Baltimore,MD,Druid Heights,11,Central,39.3067794927,-76.6352696439
0021 052,1523 N Fulton Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3058164068,-76.6458736765
0300C031,709 Baker St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3071837922,-76.641520182
4600 005,3725 W Garrison Ave,Baltimore,MD,Langston Hughes,6,Northwestern,39.343820649,-76.6789192537
0101 041,1312 Harlem Ave,Baltimore,MD,Harlem Park,9,Western,39.297043137,-76.6394956994
7483 042,2516 S Paca St,Baltimore,MD,Mount Winans,10,Southern,39.2628064434,-76.6458993641
2320 029,1638 Ruxton Ave,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3070916145,-76.655201253
1656 070,533 N Rose St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.297628251,-76.5813267562
0112 008,614 N Carey St,Baltimore,MD,Harlem Park,9,Western,39.2959106899,-76.6388479045
3407 025,2448 Francis St,Baltimore,MD,Penn North,7,Western,39.3117948128,-76.6411753064
0174 034,2246 W Fayette St,Baltimore,MD,Penrose / Fayette Street Outreach,9,Western,39.2894699008,-76.6528079612
0275 057,325 S Monroe St,Baltimore,MD,Carrollton Ridge,9,Southern,39.2837417199,-76.6464670963
0010 038,1612 Presbury St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3081507404,-76.6444988381
0221 047,108 S Calverton Road,Baltimore,MD,Shipley Hill,9,Southwestern,39.286645028,-76.6522833773
1099B091,1811 Hope St,Baltimore,MD,Oliver,12,Eastern,39.3109259208,-76.6015613903
1451 043,1853 N Collington Ave,Baltimore,MD,Broadway East,12,Eastern,39.3119268605,-76.5872231035
1556 048,2510 E Chase St,Baltimore,MD,Biddle Street,13,Eastern,39.3039089261,-76.5818136602
1553 080,2219 Henneman Ave,Baltimore,MD,Middle East,13,Eastern,39.3039500077,-76.5861988889
1277 026,550 Oldtown Mall,Baltimore,MD,Oldtown,12,Eastern,39.2971606223,-76.6031164157
4613 001B,3004 Oakley Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3479306194,-76.670678219
0087 055,816 N Stricker St,Baltimore,MD,Harlem Park,9,Western,39.2984653106,-76.6417021045
1454 049A,1831 N Montford Ave,Baltimore,MD,Broadway East,13,Eastern,39.3118400886,-76.5842806358
3805 043,2018 Greenmount Ave,Baltimore,MD,Barclay,12,Eastern,39.3131606816,-76.609735232
0119 023,1923 Edmondson Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.294895978,-76.647996646
0014 025,1648 N Fulton Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3076826468,-76.6466254724
0314 032,523 Bloom St,Baltimore,MD,Druid Heights,11,Central,39.3075516847,-76.6369568183
0017 018,1613 N Gilmor St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3072095372,-76.6431467642
7480 023,2609 Pierpont St,Baltimore,MD,Mount Winans,10,Southern,39.2598714572,-76.6434894758
0106 059,2005 Harlem Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.2961246302,-76.6493332785
0106 017,2032 Edmondson Ave,Baltimore,MD,Midtown - Edmondson,9,Western,39.2952305512,-76.6500973035
2377C061,2701 Harlem Ave,Baltimore,MD,Mosher,9,Western,39.2953880182,-76.6615771429
5202 003,4225 York Road,Baltimore,MD,Pen Lucy,4,Northern,39.3407504437,-76.6093014635
4623 039,3019 Woodland Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3460867229,-76.6693069918
0096 023,744 N Fulton Ave,Baltimore,MD,Harlem Park,9,Western,39.2974559066,-76.6460031649
3100F043,3305 Belle Ave,Baltimore,MD,East Arlington,6,Northwestern,39.3344271754,-76.6717394061
0300C032,707 Baker St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3072086712,-76.6414874596
3182 058,4214 Reisterstown Road,Baltimore,MD,Towanda - Grantley,6,Northwestern,39.3363594699,-76.6662964035
3206 017,2034 W North Ave,Baltimore,MD,Mondawmin,7,Western,39.3099164404,-76.6510528314
2394 029,2831 Riggs Ave,Baltimore,MD,Mosher,9,Western,39.3000573789,-76.6644206186
0299 059,536 Baker St,Baltimore,MD,Druid Heights,7,Central,39.3095191222,-76.6390429204
1558 004,1107 N Lakewood Ave,Baltimore,MD,Biddle Street,13,Eastern,39.3042596997,-76.579559023
0707 041,403 S Mount St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2826950996,-76.6431998014
3207 096,1920 Herbert St,Baltimore,MD,Mondawmin,7,Western,39.3104398041,-76.6489916947
0113 031,637 N Carey St,Baltimore,MD,Harlem Park,9,Western,39.2964293603,-76.6382640585
1138 002,1403 N Bond St,Baltimore,MD,Oliver,12,Eastern,39.3065550884,-76.5964575681
0336 033,650 Pitcher St,Baltimore,MD,Upton,11,Central,39.3022253323,-76.6355508567
2165 024,13 N Catherine St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2883221883,-76.6562799972
2880C025,3724 Nortonia Road,Baltimore,MD,Fairmont,7,Southwestern,39.3089892425,-76.6832256493
4577A026,3611 Spaulding Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3455442943,-76.6786544399
0002 037,1947 W North Ave,Baltimore,MD,Easterwood,7,Western,39.3094700923,-76.6495851688
2470 062,925 N Franklintown Road,Baltimore,MD,Franklintown Road,9,Southwestern,39.298532517,-76.6667953001
3400 058,1937 N Fulton Ave,Baltimore,MD,Penn North,7,Western,39.310987701,-76.6461688087
3307A039,2605 Rosewood Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3386319172,-76.6643080521
3244 045,2902 Parkwood Ave,Baltimore,MD,Parkview / Woodbrook,7,Western,39.3157475077,-76.6470486719
0163 073,220 N Fulton Ave,Baltimore,MD,Franklin Square,9,Western,39.2911086274,-76.6456343002
3205 048,2106 Herbert St,Baltimore,MD,Mondawmin,7,Western,39.3103362955,-76.6519064238
2377F030,2566 Arunah Ave,Baltimore,MD,Evergreen Lawn,9,Western,39.2955915405,-76.6592976595
3176 007,3726 Reisterstown Road,Baltimore,MD,Park Circle,6,Northwestern,39.3308523331,-76.6621888256
3190B005,4414 Reisterstown Road,Baltimore,MD,Towanda - Grantley,6,Northwestern,39.3393776201,-76.6687475455
1138 055,1406 N Broadway,Baltimore,MD,Oliver,12,Eastern,39.306651815,-76.5951479457
4744 062,2706 Spaulding Ave,Baltimore,MD,Levindale,6,Northern,39.3514468926,-76.6683045671
0152 002,303 N Stricker St,Baltimore,MD,Franklin Square,9,Western,39.2923255753,-76.6408895872
3954 031,1733 E 30th St,Baltimore,MD,Coldstream Homestead Montebello,14,Northeastern,39.3251333263,-76.5909639076
1463 069,1729 N Bradford St,Baltimore,MD,Broadway East,13,Eastern,39.3105519604,-76.584952371
1609 007,813 N Milton Ave,Baltimore,MD,Milton - Montford,13,Eastern,39.3002435123,-76.5821314286
1591 103,904 N Port St,Baltimore,MD,Milton - Montford,13,Eastern,39.3013172591,-76.5833431418
4620 097,4808 Homer Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3439305383,-76.6721086529
1117 021,1501 E Lanvale St,Baltimore,MD,Oliver,12,Eastern,39.3092861483,-76.5978215253
0075 024,936 N Stricker St,Baltimore,MD,Sandtown - Winchester,9,Western,39.29985904,-76.6418521168
